"key","original","translation","resource_Id","sorting"
"ACHIEVEMENT_NAME_450","横たわる神","The Lying God",0,1
"ACHIEVEMENT_NAME_519","異界の戦士","The Otherworldly Warrior",0,2
"ACHIEVEMENT_NAME_520","湯煙の館","The House of Steam",0,3
"ACHIEVEMENT_NAME_521","神の目覚め","The Awakening of God",0,4
"ACHIEVEMENT_NAME_522","闇を纏う娘","Daughter of Darkness",0,5
"ACHIEVEMENT_NAME_523","命の行方",,0,6
"ACHIEVEMENT_NAME_528","新兵の心","The Heart of a Recruit",0,7
"ACHIEVEMENT_NAME_529","討伐請け負います",,0,8
"ACHIEVEMENT_NAME_530","バウンティ・ハンター","Bounty Hunter",0,9
"ACHIEVEMENT_NAME_531","バトルエリート","Battle Elite",0,10
"ACHIEVEMENT_NAME_532","ザ・処刑人","The Boondock Saints",0,11
"ACHIEVEMENT_NAME_533","確実に","Reliable",0,12
"ACHIEVEMENT_NAME_534","確実且つ丁寧に","Reliable and Polite",0,13
"ACHIEVEMENT_NAME_535","確実且つ丁寧且つ迅速に","Reliable, Polite and Prompt",0,14
"ACHIEVEMENT_NAME_536","確実且つ丁寧且つ迅速且つ笑顔で","Reliable, Polite, Prompt and with a Smile",0,15
"ACHIEVEMENT_NAME_537","確実且つ丁寧且つ迅速且つ笑顔で紳士的","Reliable, Polite, Prompt, with a Smile and Gentlemanly",0,16
"ACHIEVEMENT_NAME_538","ストレンジャー","Stranger",0,17
"ACHIEVEMENT_NAME_539","ミステリーハンター","Mystery Hunter",0,18
"ACHIEVEMENT_NAME_540","ワールドウォッチャー","World Watcher",0,19
"ACHIEVEMENT_NAME_1292","レスタニアエクスプローラー","Lestanian Explorer",0,20
"ACHIEVEMENT_NAME_541","ニュース見ました","Read the News",0,21
"ACHIEVEMENT_NAME_542","ニュース愛読者","News Subscriber",0,22
"ACHIEVEMENT_NAME_543","世界の情報通","World Information Gatherer",0,23
"ACHIEVEMENT_NAME_544","真相目撃人","Witness of the Truth",0,24
"ACHIEVEMENT_NAME_582","百戦錬磨","100 War Veteran",0,25
"ACHIEVEMENT_NAME_583","三百撃破","300 Defeats",0,26
"ACHIEVEMENT_NAME_584","一騎当千","The Unmatched Warrior",0,27
"ACHIEVEMENT_NAME_585","万夫不当",,0,28
"ACHIEVEMENT_NAME_1295","弐万征殺",,0,29
"ACHIEVEMENT_NAME_1296","参萬破王",,0,30
"ACHIEVEMENT_NAME_590","小鬼退治Ⅰ","《Goblin》I",0,31
"ACHIEVEMENT_NAME_591","小鬼退治Ⅱ","《Goblin》II",0,32
"ACHIEVEMENT_NAME_592","小鬼退治Ⅲ","《Goblin》III",0,33
"ACHIEVEMENT_NAME_608","亜人ハンターⅠ","《Hobgoblin》I",0,34
"ACHIEVEMENT_NAME_609","亜人ハンターⅡ","《Hobgoblin》II",0,35
"ACHIEVEMENT_NAME_610","亜人ハンターⅢ","《Hobgoblin》III",0,36
"ACHIEVEMENT_NAME_863","森の妖鬼Ⅰ","《Forest Goblin》I",0,37
"ACHIEVEMENT_NAME_864","森の妖鬼Ⅱ","《Forest Goblin》II",0,38
"ACHIEVEMENT_NAME_865","森の妖鬼Ⅲ","《Forest Goblin》III",0,39
"ACHIEVEMENT_NAME_872","血濡れの赤帽Ⅰ","《Redcap》I",0,40
"ACHIEVEMENT_NAME_873","血濡れの赤帽Ⅱ","《Redcap》II",0,41
"ACHIEVEMENT_NAME_874","血濡れの赤帽Ⅲ","《Redcap》III",0,42
"ACHIEVEMENT_NAME_881","異形の小鬼Ⅰ","《錬魔ゴブリン》I",0,43
"ACHIEVEMENT_NAME_882","異形の小鬼Ⅱ","《錬魔ゴブリン》II",0,44
"ACHIEVEMENT_NAME_883","異形の小鬼Ⅲ","《錬魔ゴブリン》III",0,45
"ACHIEVEMENT_NAME_623","ワイルドウルフⅠ","Wild Wolf I",0,46
"ACHIEVEMENT_NAME_624","ワイルドウルフⅡ","Wild Wolf II",0,47
"ACHIEVEMENT_NAME_625","ワイルドウルフⅢ","Wild Wolf III",0,48
"ACHIEVEMENT_NAME_629","貪欲な魔獣Ⅰ","Grim Wargs I",0,49
"ACHIEVEMENT_NAME_630","貪欲な魔獣Ⅱ","Grim Wargs II",0,50
"ACHIEVEMENT_NAME_631","貪欲な魔獣Ⅲ","Grim Wargs III",0,51
"ACHIEVEMENT_NAME_635","金の獣牙Ⅰ","《錬魔オオカミ》I",0,52
"ACHIEVEMENT_NAME_636","金の獣牙Ⅱ","《錬魔オオカミ》II",0,53
"ACHIEVEMENT_NAME_637","金の獣牙Ⅲ","《錬魔オオカミ》III",0,54
"ACHIEVEMENT_NAME_641","さまようドクロⅠ","《Skeleton》I",0,55
"ACHIEVEMENT_NAME_642","さまようドクロⅡ","《Skeleton》II",0,56
"ACHIEVEMENT_NAME_643","さまようドクロⅢ","《Skeleton》III",0,57
"ACHIEVEMENT_NAME_668","魔性のドクロⅠ","Alchemic Skeleton I",0,58
"ACHIEVEMENT_NAME_669","魔性のドクロⅡ","Alchemic Skeleton II",0,59
"ACHIEVEMENT_NAME_670","魔性のドクロⅢ","Alchemic Skeleton III",0,60
"ACHIEVEMENT_NAME_671","ウロコの戦士Ⅰ","《Saurian》I",0,61
"ACHIEVEMENT_NAME_672","ウロコの戦士Ⅱ","《Saurian》II",0,62
"ACHIEVEMENT_NAME_673","ウロコの戦士Ⅲ","《Saurian》III",0,63
"ACHIEVEMENT_NAME_677","忍び寄る縞模様Ⅰ","《Sulfur Saurian》I",0,64
"ACHIEVEMENT_NAME_678","忍び寄る縞模様Ⅱ","《Sulfur Saurian》II",0,65
"ACHIEVEMENT_NAME_679","忍び寄る縞模様Ⅲ","《Sulfur Saurian》III",0,66
"ACHIEVEMENT_NAME_683","岩壁を這う者Ⅰ","《Rock Saurian》I",0,67
"ACHIEVEMENT_NAME_684","岩壁を這う者Ⅱ","《Rock Saurian》II",0,68
"ACHIEVEMENT_NAME_685","岩壁を這う者Ⅲ","《Rock Saurian》III",0,69
"ACHIEVEMENT_NAME_689","トカゲ発電Ⅰ","Blue Newts I",0,70
"ACHIEVEMENT_NAME_690","トカゲ発電Ⅱ","Blue Newts II",0,71
"ACHIEVEMENT_NAME_691","トカゲ発電Ⅲ","Blue Newts III",0,72
"ACHIEVEMENT_NAME_692","不死殺しⅠ","《Undead》I",0,73
"ACHIEVEMENT_NAME_693","不死殺しⅡ","《Undead》II",0,74
"ACHIEVEMENT_NAME_694","不死殺しⅢ","《Undead》III",0,75
"ACHIEVEMENT_NAME_707","パペットクラッシャーⅠ","Puppet Crusher I",0,76
"ACHIEVEMENT_NAME_708","パペットクラッシャーⅡ","Puppet Crusher II",0,77
"ACHIEVEMENT_NAME_709","パペットクラッシャーⅢ","Puppet Crusher III",0,78
"ACHIEVEMENT_NAME_713","葬儀屋Ⅰ","《Corpse》I",0,79
"ACHIEVEMENT_NAME_714","葬儀屋Ⅱ","《Corpse》II",0,80
"ACHIEVEMENT_NAME_715","葬儀屋Ⅲ","《Corpse》III",0,81
"ACHIEVEMENT_NAME_719","歌う鳥妖Ⅰ","《Harpy》I",0,82
"ACHIEVEMENT_NAME_720","歌う鳥妖Ⅱ","《Harpy》II",0,83
"ACHIEVEMENT_NAME_721","歌う鳥妖Ⅲ","《Harpy》III",0,84
"ACHIEVEMENT_NAME_731","虫取り少年","《地蟲》I",0,85
"ACHIEVEMENT_NAME_732","虫取りプロ","《地蟲》II",0,86
"ACHIEVEMENT_NAME_733","虫取りエキスパート","《地蟲》III",0,87
"ACHIEVEMENT_NAME_914","害虫駆除業者Ⅰ","Killer Bees I",0,88
"ACHIEVEMENT_NAME_915","害虫駆除業者Ⅱ","Killer Bees II",0,89
"ACHIEVEMENT_NAME_916","害虫駆除業者Ⅲ","Killer Bees III",0,90
"ACHIEVEMENT_NAME_737","ローションプレイヤーⅠ","《Slime》Player I",0,91
"ACHIEVEMENT_NAME_738","ローションプレイヤーⅡ","《Slime》Player II",0,92
"ACHIEVEMENT_NAME_739","ローションプレイヤーⅢ","《Slime》Player III",0,93
"ACHIEVEMENT_NAME_794","盗賊ハンターⅠ","《Rogue》Hunter I",0,94
"ACHIEVEMENT_NAME_795","盗賊ハンターⅡ","《Rogue》Hunter II",0,95
"ACHIEVEMENT_NAME_796","盗賊ハンターⅢ","《Rogue》Hunter III",0,96
"ACHIEVEMENT_NAME_818","ゴーストバスターⅠ","《ミストマン》I",0,97
"ACHIEVEMENT_NAME_819","ゴーストバスターⅡ","《ミストマン》II",0,98
"ACHIEVEMENT_NAME_820","ゴーストバスターⅢ","《ミストマン》III",0,99
"ACHIEVEMENT_NAME_836","迷えるポーンに安らぎをⅠ","《Cursed Bone》 I",0,100
"ACHIEVEMENT_NAME_837","迷えるポーンに安らぎをⅡ","《Cursed Bone》II",0,101
"ACHIEVEMENT_NAME_838","迷えるポーンに安らぎをⅢ","《Cursed Bone》III",0,102
"ACHIEVEMENT_NAME_917","一つ目バスターⅠ","One Eye Buster I",0,103
"ACHIEVEMENT_NAME_918","一つ目バスターⅡ","One Eye Buster II",0,104
"ACHIEVEMENT_NAME_919","一つ目バスターⅢ","One Eye Buster III",0,105
"ACHIEVEMENT_NAME_929","ジャイアントキラーⅠ","Giant Killer I",0,106
"ACHIEVEMENT_NAME_930","ジャイアントキラーⅡ","Giant Killer II",0,107
"ACHIEVEMENT_NAME_931","ジャイアントキラーⅢ","Giant Killer III",0,108
"ACHIEVEMENT_NAME_935","樹木伐採者Ⅰ","Ents I",0,109
"ACHIEVEMENT_NAME_936","樹木伐採者Ⅱ","Ents II",0,110
"ACHIEVEMENT_NAME_937","樹木伐採者Ⅲ","Ents III",0,111
"ACHIEVEMENT_NAME_1297","森の賢者Ⅰ","Grand Ents I",0,112
"ACHIEVEMENT_NAME_1298","森の賢者Ⅱ","Grand Ents II",0,113
"ACHIEVEMENT_NAME_1299","森の賢者Ⅲ","Grand Ents III",0,114
"ACHIEVEMENT_NAME_938","巨人討伐衆Ⅰ","《Troll》I",0,115
"ACHIEVEMENT_NAME_939","巨人討伐衆Ⅱ","《Troll》II",0,116
"ACHIEVEMENT_NAME_940","巨人討伐衆Ⅲ","《Troll》III",0,117
"ACHIEVEMENT_NAME_944","石切工Ⅰ","Golems I",0,118
"ACHIEVEMENT_NAME_945","石切工Ⅱ","Golems II",0,119
"ACHIEVEMENT_NAME_946","石切工Ⅲ","Golems III",0,120
"ACHIEVEMENT_NAME_956","吠える三つ首Ⅰ","Chimeras I",0,121
"ACHIEVEMENT_NAME_957","吠える三つ首Ⅱ","Chimeras II",0,122
"ACHIEVEMENT_NAME_958","吠える三つ首Ⅲ","Chimeras III",0,123
"ACHIEVEMENT_NAME_959","白き幻獣Ⅰ","White Chimeras I",0,124
"ACHIEVEMENT_NAME_960","白き幻獣Ⅱ","White Chimeras II",0,125
"ACHIEVEMENT_NAME_961","白き幻獣Ⅲ","White Chimeras III",0,126
"ACHIEVEMENT_NAME_965","スカイグライダーⅠ","Sky Glider I",0,127
"ACHIEVEMENT_NAME_966","スカイグライダーⅡ","Sky Glider II",0,128
"ACHIEVEMENT_NAME_967","スカイグライダーⅢ","Sky Glider III",0,129
"ACHIEVEMENT_NAME_968","石の上にも１年",,0,130
"ACHIEVEMENT_NAME_969","石の上にも２年",,0,131
"ACHIEVEMENT_NAME_970","石の上にも３年",,0,132
"ACHIEVEMENT_NAME_971","恐ろしの歌姫Ⅰ",,0,133
"ACHIEVEMENT_NAME_972","恐ろしの歌姫Ⅱ",,0,134
"ACHIEVEMENT_NAME_973","恐ろしの歌姫Ⅲ",,0,135
"ACHIEVEMENT_NAME_998","悪鬼退治Ⅰ",,0,136
"ACHIEVEMENT_NAME_999","悪鬼退治Ⅱ",,0,137
"ACHIEVEMENT_NAME_1000","悪鬼退治Ⅲ",,0,138
"ACHIEVEMENT_NAME_1001","暴れ猿Ⅰ",,0,139
"ACHIEVEMENT_NAME_1002","暴れ猿Ⅱ",,0,140
"ACHIEVEMENT_NAME_1003","暴れ猿Ⅲ",,0,141
"ACHIEVEMENT_NAME_1004","デッドイーターⅠ",,0,142
"ACHIEVEMENT_NAME_1005","デッドイーターⅡ",,0,143
"ACHIEVEMENT_NAME_1006","デッドイーターⅢ",,0,144
"ACHIEVEMENT_NAME_1010","猛るいぶし銀Ⅰ",,0,145
"ACHIEVEMENT_NAME_1011","猛るいぶし銀Ⅱ",,0,146
"ACHIEVEMENT_NAME_1012","猛るいぶし銀Ⅲ",,0,147
"ACHIEVEMENT_NAME_1013","エクソシストⅠ","Exorcist I",0,148
"ACHIEVEMENT_NAME_1014","エクソシストⅡ","Exorcist II",0,149
"ACHIEVEMENT_NAME_1015","エクソシストⅢ","Exorcist III",0,150
"ACHIEVEMENT_NAME_1016","異端審問官Ⅰ",,0,151
"ACHIEVEMENT_NAME_1017","異端審問官Ⅱ",,0,152
"ACHIEVEMENT_NAME_1018","異端審問官Ⅲ",,0,153
"ACHIEVEMENT_NAME_1028","雷纏う海魔Ⅰ",,0,154
"ACHIEVEMENT_NAME_1029","雷纏う海魔Ⅱ",,0,155
"ACHIEVEMENT_NAME_1030","雷纏う海魔Ⅲ",,0,156
"ACHIEVEMENT_NAME_1031","閃光の一角Ⅰ",,0,157
"ACHIEVEMENT_NAME_1032","閃光の一角Ⅱ",,0,158
"ACHIEVEMENT_NAME_1033","閃光の一角Ⅲ",,0,159
"ACHIEVEMENT_NAME_1034","大地の怪獣Ⅰ",,0,160
"ACHIEVEMENT_NAME_1035","大地の怪獣Ⅱ",,0,161
"ACHIEVEMENT_NAME_1036","大地の怪獣Ⅲ",,0,162
"ACHIEVEMENT_NAME_1043","噂のオークキラーⅠ","Rumored Orc Killer I",0,163
"ACHIEVEMENT_NAME_1044","噂のオークキラーⅡ","Rumored Orc Killer II",0,164
"ACHIEVEMENT_NAME_1045","噂のオークキラーⅢ","Rumored Orc Killer III",0,165
"ACHIEVEMENT_NAME_1061","オーク将の首を取れⅠ",,0,166
"ACHIEVEMENT_NAME_1062","オーク将の首を取れⅡ",,0,167
"ACHIEVEMENT_NAME_1063","オーク将の首を取れⅢ",,0,168
"ACHIEVEMENT_NAME_1085","竜狩",,0,169
"ACHIEVEMENT_NAME_1086","竜殺",,0,170
"ACHIEVEMENT_NAME_1087","竜制",,0,171
"ACHIEVEMENT_NAME_1091","生命の種",,0,172
"ACHIEVEMENT_NAME_1092","生命の樹",,0,173
"ACHIEVEMENT_NAME_1093","不休の徒",,0,174
"ACHIEVEMENT_NAME_1094","恒労の徒",,0,175
"ACHIEVEMENT_NAME_1095","覚者の心器",,0,176
"ACHIEVEMENT_NAME_1096","覚者の神器",,0,177
"ACHIEVEMENT_NAME_1097","従者の信頼",,0,178
"ACHIEVEMENT_NAME_1098","従者の忠義",,0,179
"ACHIEVEMENT_NAME_1099","剣士",,0,180
"ACHIEVEMENT_NAME_1100","剣豪",,0,181
"ACHIEVEMENT_NAME_1102","足踏み",,0,182
"ACHIEVEMENT_NAME_1103","弓構え",,0,183
"ACHIEVEMENT_NAME_1105","癒し手",,0,184
"ACHIEVEMENT_NAME_1106","癒しの道士",,0,185
"ACHIEVEMENT_NAME_1108","守り手",,0,186
"ACHIEVEMENT_NAME_1109","守護者",,0,187
"ACHIEVEMENT_NAME_1111","軽業師",,0,188
"ACHIEVEMENT_NAME_1112","軽業達人",,0,189
"ACHIEVEMENT_NAME_1114","魔導の徒",,0,190
"ACHIEVEMENT_NAME_1115","魔導の究士",,0,191
"ACHIEVEMENT_NAME_1117","光弾の射手",,0,192
"ACHIEVEMENT_NAME_1118","閃弾の射手",,0,193
"ACHIEVEMENT_NAME_1133","覚者の教訓",,0,194
"ACHIEVEMENT_NAME_1134","求道者",,0,195
"ACHIEVEMENT_NAME_1135","超・求道者",,0,196
"ACHIEVEMENT_NAME_1136","極・求道者",,0,197
"ACHIEVEMENT_NAME_1137","アビリティオープナー","Ability Opener",0,198
"ACHIEVEMENT_NAME_1138","アビリティホルダー","Ability Holder",0,199
"ACHIEVEMENT_NAME_1139","アビリティコレクター","Ability Collector",0,200
"ACHIEVEMENT_NAME_1140","アビリティマイスター","Ability Meister",0,201
"ACHIEVEMENT_NAME_1143","ルーキーエンプロイヤー","Rookie Employer",0,202
"ACHIEVEMENT_NAME_1144","グッドエンプロイヤー","Good Employer",0,203
"ACHIEVEMENT_NAME_1145","ベストエンプロイヤー","Best Employer",0,204
"ACHIEVEMENT_NAME_1146","用心棒",,0,205
"ACHIEVEMENT_NAME_1147","忠実なる剣",,0,206
"ACHIEVEMENT_NAME_1149","弓兵付き",,0,207
"ACHIEVEMENT_NAME_1150","弓の守り",,0,208
"ACHIEVEMENT_NAME_1152","衛生兵",,0,209
"ACHIEVEMENT_NAME_1153","回復の要",,0,210
"ACHIEVEMENT_NAME_1155","タフネス","Toughness",0,211
"ACHIEVEMENT_NAME_1156","ドートレス",,0,212
"ACHIEVEMENT_NAME_1158","メイジ","Mage",0,213
"ACHIEVEMENT_NAME_1159","エルダーメイジ","Elder Mage",0,214
"ACHIEVEMENT_NAME_1161","トリッキー","Tricky",0,215
"ACHIEVEMENT_NAME_1162","ワイヤーマン","Wire Man",0,216
"ACHIEVEMENT_NAME_1164","秘弓見習い",,0,217
"ACHIEVEMENT_NAME_1165","秘弓の使い手",,0,218
"ACHIEVEMENT_NAME_1173","クラフトマン","Craft Man",0,219
"ACHIEVEMENT_NAME_1174","クラフトナイト","Craft Knight",0,220
"ACHIEVEMENT_NAME_1176","ブロンズハンド","Bronze Hand",0,221
"ACHIEVEMENT_NAME_1177","シルバーハンド","Silver Hand",0,222
"ACHIEVEMENT_NAME_1228","トレジャービギナー","Treasure Beginner",0,223
"ACHIEVEMENT_NAME_1229","トレジャーハンター","Treasure Hunter",0,224
"ACHIEVEMENT_NAME_1230","トレジャーマスター","Treasure Master",0,225
"ACHIEVEMENT_NAME_1231","ギャザースカラー","Gathering Scholar",0,226
"ACHIEVEMENT_NAME_1232","ギャザーエキスパート","Gathering Expert",0,227
"ACHIEVEMENT_NAME_1233","ギャザーチャンピオン","Gathering Champion",0,228
"ACHIEVEMENT_NAME_1234","かけだし採掘士","Beginner Miner",0,229
"ACHIEVEMENT_NAME_1235","ミスター採掘士","Mr Miner",0,230
"ACHIEVEMENT_NAME_1236","マスター採掘士","Master Miner",0,231
"ACHIEVEMENT_NAME_1237","きこりルーキー","Rookie Lumberjack",0,232
"ACHIEVEMENT_NAME_1238","きこりエース","Ace Lumberjack",0,233
"ACHIEVEMENT_NAME_1239","きこりプロフェッショナル","Professional Lumberjack",0,234
"ACHIEVEMENT_NAME_1243","ファーストウェポン","First Weapon",0,235
"ACHIEVEMENT_NAME_1244","ウェポンメーカー","Weapon Maker",0,236
"ACHIEVEMENT_NAME_1245","ウェポンファーザー","Weapon Father",0,237
"ACHIEVEMENT_NAME_1246","ロード オブ アイアン","Lord of Iron",0,238
"ACHIEVEMENT_NAME_1247","アーマー大工",,0,239
"ACHIEVEMENT_NAME_1248","アーマー職工",,0,240
"ACHIEVEMENT_NAME_1249","アーマー熟練工",,0,241
"ACHIEVEMENT_NAME_1250","アーマー名工",,0,242
"ACHIEVEMENT_NAME_1251","工芸初心者",,0,243
"ACHIEVEMENT_NAME_1252","工芸職人",,0,244
"ACHIEVEMENT_NAME_1253","工芸の匠み技",,0,245
"ACHIEVEMENT_NAME_1254","武具職人",,0,246
